kralj,0.9254522,0.10095238095238095,bogat,tamkajšnji
lisica,0.83741975,0.1419047619047619
raca,0.48702887,0.13523809523809524
brat,0.95704377,0.37809523809523804,mlad,bolan,nesrečen
sestra,0.7778975,0.2438095238095238,mlad,drug,okamnel
